record_type,current_path,filename,document_id,title,version,status,classification,normative_role,semantic_owner,brand_era,canonical_state,dependencies,supersedes,superseded_by,target_class,target_path,recommended_action,duplicate_of,migration_risk,sprint,evidence_basis,notes
FILE,DOCS/CAW/AMS/ACV-STATE-REF-GATE-01-RECEIPT.md,ACV-STATE-REF-GATE-01-RECEIPT.md,N/A,ACV-STATE-REF-GATE-01 — Completion Receipt,N/A,** COMPLETE — VERIFIED AND SUBMITTED,N/A,N/A,N/A,Zyppi,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/ACV-STATE-REF-GATE-01-RECEIPT.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 6148 bytes, SHA256 520ca73a92fe..."
FILE,DOCS/CAW/AMS/ACV-STATE-REF-GATE-01.md,ACV-STATE-REF-GATE-01.md,N/A,ACV-STATE-REF-GATE-01 — Implementation Mandate,N/A,** RATIFIED — AUTHORIZED FOR IMPLEMENTATION **Implementation Agent:** Jules — AI Software Engineer **Implementation Scope:** Narrow constitutional capability closure only **Implementation Authority:** GRANTED WITHIN THIS MANDATE,N/A,** GRANTED WITHIN THIS MANDATE,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/ACV-STATE-REF-GATE-01.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 17774 bytes, SHA256 f2f293aa13c4..."
FILE,DOCS/CAW/AMS/AMS-0101-Bootstrap-Repository.md,AMS-0101-Bootstrap-Repository.md,N/A,AMS-0101 — Bootstrap Repository,N/A,☐ Planned**,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0101-Bootstrap-Repository.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 2351 bytes, SHA256 98da975ceeba..."
FILE,DOCS/CAW/AMS/AMS-0103-TypeScript-Project-References.md,AMS-0103-TypeScript-Project-References.md,N/A,AMS-0103 — Configure TypeScript Project References,N/A,☐ Planned**,N/A,N/A,N/A,N/A,IMPLEMENTATION,IT-0101/IT-0102 (both ☑) · Status: ☐ Planned**,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0103-TypeScript-Project-References.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 3192 bytes, SHA256 18125097c3a9..."
FILE,DOCS/CAW/AMS/AMS-0104.md,AMS-0104.md,N/A,AMS-0104 — Configure ESLint v9 Flat Config,N/A,** Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0101, IT-0102, IT-0103",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0104.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 7183 bytes, SHA256 eb65f082b16e..."
FILE,DOCS/CAW/AMS/AMS-0105.md,AMS-0105.md,N/A,AMS-0105 — Configure Prettier,N/A,** Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,"** IT-0101, IT-0102",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0105.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 5816 bytes, SHA256 e2d6de68e822..."
FILE,DOCS/CAW/AMS/AMS-0106.md,AMS-0106.md,N/A,AMS-0106 — Configure Vitest,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,** IT-0103 — TypeScript Project References,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0106.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 15442 bytes, SHA256 4bbd7c3293a9..."
FILE,DOCS/CAW/AMS/AMS-0107.md,AMS-0107.md,N/A,AMS-0107 — Configure GitHub Actions CI Skeleton,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,** IT-0106 ☑ Complete,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0107.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 32646 bytes, SHA256 06778a3a01a5..."
FILE,DOCS/CAW/AMS/AMS-0108.md,AMS-0108.md,N/A,AMS-0108 — Static Runtime Purity & Determinism Validator,N/A,N/A,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0108.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 27093 bytes, SHA256 2710dafbec2a..."
FILE,DOCS/CAW/AMS/AMS-0201.md,AMS-0201.md,N/A,AMS-0201,N/A,N/A,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0201.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 29226 bytes, SHA256 13b7a4f7d041..."
